species,eventDate,decimalLatitude,decimalLongitude,NDVI
Aloe claviflora,2023-09-06T13:13,-29.263973,21.307576,0.06730867177248001
Aloidendron dichotomum,2023-04-13T13:13,-29.30783,21.363532,0.06573755294084549
Boscia albitrunca,2023-08-19T12:45,-29.300163,21.253862,0.0659702718257904
Boscia albitrunca,2023-08-19T12:44,-29.296078,21.26201,0.05400431156158447
Aloidendron dichotomum,2023-08-23T10:37,-29.392498,21.341246,0.07447848469018936
Boscia albitrunca,2023-08-19T12:45,-29.297659,21.258819,0.061561644077301025
Boscia albitrunca,2023-08-19T13:06,-29.286163,21.146227,0.06833846867084503
Boscia albitrunca,2023-08-19T12:32,-29.276537,21.401222,0.06926263123750687
Aloidendron dichotomum,2023-08-23T09:58,-29.309916,21.304166,0.055548105388879776
Chascanum garipense,2023-04-19T10:48,-29.487389,20.797328,0.0507424920797348
Vachellia erioloba,2023-08-19T13:02,-29.318906,21.155447,0.04991493746638298
Vachellia erioloba,2023-08-19T13:03,-29.31007,21.156739,0.06203818321228027
Vachellia erioloba,2023-08-19T14:00,-29.00735,20.754264,0.06678056716918945
Vachellia erioloba,2023-08-19T13:07,-29.280829,21.12615,0.06442943215370178
Vachellia erioloba,2023-08-19T13:58,-29.024783,20.770947,0.06714587658643723
Vachellia erioloba,2023-08-19T13:39,-29.08624,20.808685,0.06923343986272812
Vachellia erioloba,2023-08-19T13:39,-29.087548,20.809104,0.06433706730604172
Vachellia erioloba,2023-08-19T13:11,-29.268443,21.084367,0.058219533413648605
Vachellia erioloba,2023-08-19T13:13,-29.259811,21.060072,0.07088161259889603
Vachellia erioloba,2023-08-19T13:10,-29.27373,21.101941,0.07544934749603271
Vachellia erioloba,2023-08-19T13:12,-29.263471,21.070381,0.06665177643299103
Vachellia erioloba,2023-08-19T13:03,-29.298643,21.158441,0.050847455859184265
Vachellia erioloba,2023-08-19T13:08,-29.278316,21.11744,0.0728786364197731
Vachellia erioloba,2023-08-19T13:07,-29.28263,21.132842,0.06018518656492233
Vachellia erioloba,2023-08-19T13:59,-29.019039,20.766198,0.06764961034059525
Vachellia erioloba,2023-08-19T13:12,-29.264966,21.074576,0.08226257562637329
Vachellia erioloba,2023-08-19T13:08,-29.278041,21.116496,0.06284943968057632
Vachellia erioloba,2023-08-19T13:12,-29.263317,21.069945,0.05922365561127663
Vachellia erioloba,2023-08-19T13:01,-29.330073,21.153832,0.04828391969203949
Vachellia erioloba,2023-08-19T13:12,-29.262469,21.067565,0.0791204571723938
Vachellia erioloba,2023-08-19T13:08,-29.277775,21.115589,0.08583320677280426
Vachellia erioloba,2023-08-19T13:13,-29.259011,21.057851,0.07064110040664673
Vachellia erioloba,2023-08-19T13:09,-29.276365,21.11085,0.07177308201789856
Vachellia erioloba,2023-08-19T13:07,-29.281672,21.129302,0.057665832340717316
Vachellia erioloba,2023-08-19T13:05,-29.286747,21.148414,0.0560121051967144
Vachellia erioloba,2023-08-19T14:00,-29.008207,20.755167,0.05430327728390694
Vachellia erioloba,2023-08-19T13:13,-29.259889,21.060289,0.053752999752759933
Vachellia erioloba,2023-08-19T13:01,-29.329875,21.153856,0.05268731713294983
Vachellia erioloba,2023-08-19T13:09,-29.276926,21.112703,0.07770971953868866
Vachellia erioloba,2023-08-19T13:05,-29.287807,21.152246,0.06737072020769119
Vachellia erioloba,2023-08-19T13:12,-29.261215,21.064022,0.06795841455459595
Vachellia erioloba,2023-08-19T14:00,-29.011118,20.759362,0.07247612625360489
Vachellia erioloba,2023-08-19T13:09,-29.27556,21.108075,0.05003975331783295
Vachellia erioloba,2023-08-19T13:11,-29.266091,21.077722,0.04709882289171219
Vachellia erioloba,2023-08-19T13:11,-29.26982,21.088759,0.058299459517002106
Vachellia erioloba,2023-08-19T14:01,-29.001209,20.74776,0.06546032428741455
Vachellia erioloba,2023-08-19T13:59,-29.019361,20.766467,0.06627172976732254
Aloidendron dichotomum,2023-08-19,-29.394648,21.034932,0.0737719014286995
Aloidendron dichotomum,2023-08-19,-29.385979,21.184034,0.06044670566916466
Vachellia erioloba,2023-08-19T13:29,-29.17323,20.881963,0.057474374771118164
Vachellia erioloba,2023-08-19T13:18,-29.227692,20.995532,0.05636097118258476
Vachellia erioloba,2023-08-19T13:13,-29.257389,21.053396,0.07979957014322281
Vachellia erioloba,2023-08-19T13:18,-29.229432,20.999293,0.06168883293867111
Vachellia erioloba,2023-08-19T12:58,-29.348883,21.158676,0.025562340393662453
